epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9173973202705383,0.9916439056396484,0.0003000000142492354,0.17725981771945953,1.0,0.8015521168708801,0.9947780966758728,1.0,0.435526043176651,1.0,0.987500011920929
1,1.0,1.0,0.0003000000142492354,0.0027907330077141523,1.0,1.0,0.9843342304229736,1.0,0.2986584007740021,1.0,0.9624999761581421
2,1.0,1.0,0.0003000000142492354,0.0012443948071449995,1.0,1.0,1.0,1.0,0.19046469032764435,1.0,1.0
3,1.0,1.0,0.0003000000142492354,0.0007392480038106441,1.0,1.0,1.0,1.0,0.08200212568044662,1.0,1.0
4,1.0,1.0,0.0001500000071246177,0.0005265223444439471,1.0,1.0,1.0,1.0,0.024581430479884148,1.0,1.0
5,1.0,1.0,0.0001500000071246177,0.000442435935838148,1.0,1.0,1.0,1.0,0.006422305013984442,1.0,1.0
6,1.0,1.0,0.0001500000071246177,0.00037341524148359895,1.0,1.0,1.0,1.0,0.0018906885525211692,1.0,1.0
7,1.0,1.0,7.500000356230885e-05,0.0003298371739219874,1.0,1.0,1.0,1.0,0.0007710048230364919,1.0,1.0
